high,low,open,close,volume,hour
125.14,124.0,124.72,124.38,2800.1049534599983,6
124.84,124.21,124.33,124.65,4445.122194879999,7
124.65,124.1,124.65,124.28,2475.1817618500004,8
124.52,124.12,124.31,124.12,2818.86700404,9
124.46,124.08,124.21,124.28,1305.7192626700005,10
124.74,124.28,124.28,124.46,1397.4642127600005,11
124.75,124.49,124.5,124.63,1443.2869240800019,12
125.12,122.68,124.64,123.6,7531.060300400003,13
124.07,123.6,123.64,123.97,2156.023664120001,14
124.16,123.38,123.99,123.94,2212.5504839000005,15
123.99,123.77,123.85,123.92,407.6548434199999,16
124.13,123.65,123.82,123.99,1059.2359128100004,17
123.95,123.3,123.8,123.3,278.05471243999995,18
123.64,122.58,123.25,123.52,4676.13737094,19
123.97,123.24,123.5,123.27,6626.357217590009,20
123.34,123.04,123.25,123.15,3315.507309779999,21
123.35,123.1,123.1,123.12,379.48038279,22
123.71,123.14,123.17,123.51,466.04337791,23
123.54,123.0,123.5,123.0,516.0411982700001,0
123.08,122.05,123.03,122.74,4783.418160940002,1
123.0,122.7,122.77,122.76,1073.4624689,2
123.0,122.5,122.76,123.0,391.71251083999994,3
123.71,122.7,123.0,123.0,987.4199515300006,4
123.16,122.64,122.96,122.87,939.91650899,5
122.98,118.29,122.93,119.44,15731.266063360008,6
119.58,112.77,119.44,117.64,28784.104266720045,7
118.29,117.45,117.7,118.04,5509.761635969997,8
118.04,117.65,118.04,117.76,2481.685526519997,9
118.13,116.65,117.83,117.02,4949.461562829997,10
117.9,115.62,116.9,117.2,7533.584262730014,11
117.09,115.82,117.09,117.0,3269.7107670500004,12
117.08,116.49,116.93,116.6,1988.65800244,13
116.81,116.49,116.54,116.75,1405.7796299099991,14
117.88,116.66,116.69,117.45,3227.533472289998,15
117.8,117.33,117.45,117.59,1884.4701535800002,16
117.9,117.37,117.57,117.6,1659.5104809900001,17
117.74,117.21,117.51,117.34,1434.384891069999,18
117.6,117.09,117.41,117.34,2539.141968849993,19
117.37,116.77,117.33,117.01,3498.83997351,20
117.39,116.9,117.01,117.16,2582.630175869998,21
117.18,116.51,117.11,116.81,839.1558825100001,22
116.84,113.51,116.81,114.86,12065.980402070007,23
115.38,114.83,114.86,115.38,939.9855259299998,0
116.57,115.38,115.4,115.91,4583.113746039998,1
116.07,115.49,115.88,115.8,1700.8436849500008,2
115.87,115.33,115.8,115.6,1319.7886328900004,3
117.94,115.6,115.6,116.45,9046.66103034,4
116.82,116.1,116.44,116.49,1463.3652204300004,5
117.78,116.45,116.5,117.4,3791.9928502300004,6
117.44,116.31,117.38,116.56,3151.51680943,7
118.13,116.55,116.55,116.82,4275.32024114,8
117.0,115.73,117.0,116.3,1873.7190784599982,9
116.74,115.95,116.14,116.52,2222.830408710001,10
117.0,116.4,116.55,116.77,970.8529769100003,11
117.0,116.56,116.82,116.56,1845.1259155499995,12
116.74,115.8,116.6,116.31,2868.37130842,13
116.75,116.37,116.44,116.5,532.2709593799999,14
116.58,116.18,116.45,116.46,1669.8410049599997,15
116.41,114.95,116.41,115.14,5014.606215949999,16
116.02,114.53,115.17,115.68,5638.522151940005,17
116.25,115.68,115.87,115.81,1543.1890847399936,18
116.68,115.7,115.81,116.28,2230.6879025899957,19
117.01,116.31,116.32,116.67,3984.666135329994,20
117.56,116.28,116.65,116.32,3017.4797305299994,21
116.82,115.94,116.4,116.11,3334.919735969997,22
116.51,116.09,116.33,116.25,568.36568333,23
116.25,116.13,116.25,116.25,602.9493057399999,0
116.24,115.2,116.24,115.51,1552.162657789999,1
115.74,115.25,115.28,115.71,1513.8198367200005,2
116.3,115.44,115.52,116.15,4027.0255078100004,3
116.3,115.82,116.3,115.82,1378.7367121799998,4
116.29,114.76,115.68,115.54,4368.492451480001,5
115.81,110.92,115.55,114.9,29983.26336028996,6
117.0,114.4,114.91,116.56,11076.297750610007,7
116.85,115.9,116.54,116.36,4861.006075260003,8
118.91,116.18,116.4,117.66,9190.745227670015,9
119.0,117.32,117.77,118.3,8586.562051080002,10
118.76,117.4,118.19,118.0,1633.3992320499983,11
118.77,117.61,118.03,118.25,2837.0961848899974,12
118.57,117.79,118.25,118.46,1405.6971737099996,13
119.71,118.01,118.16,118.24,4181.818762279994,14
